,2024 JOB APPLICATION TRACKER,,,,,,,,,,,,
NO,JOB TITLE,COMPANY,APPLICATION CHANNEL,COUNTRY,REMOTE/PHYSICAL,TIME APPLIED,DATE APPLIED,DATE GOTTEN FEEDBACK,TIME OF DECISION,APROX.NO  OF DAYS,STATUS,LINKEDIN STATUS,DOC USED
1,OPERATIONS DATA ANALYST INTERN,FASTSPRING,WEBSITE,UNITED STATES,REMOTE,13:31,1/5/2024,1/19/2024,2:41,14,REJECTED,2023 LNK,RESUME
2,JUNIOR DATA ANALYST,Doctor Care Anywhere,WEBSITE,UK,REMOTE,14:21,1/5/2024,1/13/2024,19:57,8,REJECTED,2023 LNK,RESUME
3,BI ANALYST,ALEXANDER DENNIS,WEBSITE,US,REMOTE,8:22,1/11/2024,1/12/2024,14:04,1,REJECTED,2023 LNK,RESUME
4,DATA CONTRIBUTION PROJECT,TELUS INTERNATIONAL,WEBSITE,KENYA,REMOTE,8:38,1/11/2024,,,###############################################################################################################################################################################################################################################################,,2023 LNK,RESUME
5,GRADUATE BUSINESS ANALYST,HP,WEBSITE,USA,ONSITE,14:53,1/12/2024,02/07/2024,17:50,26,REJECTED,2023 LNK,RESUME
6,JUNIOR DATA BI ANALYST,PATTERNED LEARNING CAREER,LINKEDIN,USA,REMOTE,16:47,1/12/2024,,,###############################################################################################################################################################################################################################################################,,2023 LNK,RESUME
7,DATA ANALYST,MOXIE,WEBSITE,USA,REMOTE,20:29,01/13/2024,02/01/2024,17:00,19,REJECTED,2023 LNK,RESUME
8,DATA ANALYST,CLOUD FACTORY,WEBSITE,KENYA,REMOTE,22:20,01/17/2024,04/05/2024,10:58,79,REJECTED,2023 LNK,CV
9,BUSINESS ANALYST,ABSA BANK,WEBSITE,KENYA,HYBRID,14:39,01/20/2024,,,###############################################################################################################################################################################################################################################################,,2023 LNK,C_CV
10,GRADUATE PROGRAM,CONTROL RISKS,WEBSITE,KENYA,ONSITE,21:30,01/25/2024,,,###############################################################################################################################################################################################################################################################,,2024 LNK,CV
11,AGENCY OPERATIONS DATA ANALYST,PRUDENTIAL,LINKEDIN,KENYA,ONSITE,8:26,01/29/2024,,,###############################################################################################################################################################################################################################################################,,2024 LNK,CV
12,DATA ANALYST BUSINESS PARTNER,SAFARICOM,WEBSITE,KENYA,ONSITE,9:48,01/30/2024,02/07/2024,11:48,8,1ST TEST,2024 LNK,CV
13,DATA SCIENTIST INTERNSHIP,BCG,WEBSITE,INTERNATIONAL,ONSITE,8:37,01/31/2024,,,###############################################################################################################################################################################################################################################################,,2024 LNK,CV
14,BI DEVELOPER,OUTSOURCED PHILIPINES,LINKEDIN,INTERNATIONAL,REMOTE,9:40,02/03/2024,,,###############################################################################################################################################################################################################################################################,,2024 LNK,CV
